yorum,aspect,sentiment
ASUS ASUS ASUSU,genel,notr
ürün tabiki çok güzel apple sonuçta ama trendyol çok yavaş kargoları maalesef ama sorunsuz geldi teşekkürler,genel,pozitif
ürün tabiki çok güzel apple sonuçta ama trendyol çok yavaş kargoları maalesef ama sorunsuz geldi teşekkürler,kargo,negatif
"Ürün elime bugün 5 kasım 2024 tarihinde ulaştı, kutu üzerinden doğrulamasını yaptıktan sonra kurulum için açtım. Açar açmaz karşılaştığım sorun pil için servis",kargo,notr
"Ürün elime bugün 5 kasım 2024 tarihinde ulaştı, kutu üzerinden doğrulamasını yaptıktan sonra kurulum için açtım. Açar açmaz karşılaştığım sorun pil için servis",batarya,negatif
"Kesinlikle almayın, 19 ekim 2024 tarihinde teslim aldım cihazı, garanti bitimi 26 mart 2025 gösteriyor. Daha önce kullanılmış ürünü gönderiyorlar ve BOZUK!!! Ci",genel,negatif
"Kesinlikle almayın, 19 ekim 2024 tarihinde teslim aldım cihazı, garanti bitimi 26 mart 2025 gösteriyor. Daha önce kullanılmış ürünü gönderiyorlar ve BOZUK!!! Ci",kalite,negatif
ürün hiçbir şekilde şarj olmuyor. servis öneriliyor yazıyor. paketlenmeden gönderilmiş sadece kendi kutusu ve trendyol kutusuna konmuş.,batarya,negatif
ürün hiçbir şekilde şarj olmuyor. servis öneriliyor yazıyor. paketlenmeden gönderilmiş sadece kendi kutusu ve trendyol kutusuna konmuş.,ambalaj,negatif
Ürünü 22 Aralık 2024 tarihinde satıcı trendyol asatıcı olarak sipariş verdim bugün geldi kurulumunu gerçekleştirdim. Garanti süresine bakınca 30 Ocak 2026 olduğunu fark,kargo,notr
Ürünü 22 Aralık 2024 tarihinde satıcı trendyol asatıcı olarak sipariş verdim bugün geldi kurulumunu gerçekleştirdim. Garanti süresine bakınca 30 Ocak 2026 olduğunu fark,genel,notr
Ağustosda aldım ocakta garantisi başlamış,genel,negatif
PC kurulumunu yaptıktan sonra pil seviyesi servis gösteriyordu iade ettim geri yolladılar PC yi sıfırlayıp geri yollamam söylendi sıfırladım ve tekrar yolladım,batarya,negatif
PC kurulumunu yaptıktan sonra pil seviyesi servis gösteriyordu iade ettim geri yolladılar PC yi sıfırlayıp geri yollamam söylendi sıfırladım ve tekrar yolladım,genel,negatif
batarya bozuk geldi üründe sorun yoktu servis uyarısı verdi geri iade talebi oluşturdum.,batarya,negatif
batarya bozuk geldi üründe sorun yoktu servis uyarısı verdi geri iade talebi oluşturdum.,kalite,pozitif
sıfır aldığım ürün pil servis uyarısı verdi iadeyle uğraşmadım servise gönderdim.trendyol satıcısından almıştım siz siz olun bilindik yerlerden alın,batarya,negatif
sıfır aldığım ürün pil servis uyarısı verdi iadeyle uğraşmadım servise gönderdim.trendyol satıcısından almıştım siz siz olun bilindik yerlerden alın,genel,negatif
Çok şaşkınım nasıl böyle ürün gönderirler aklım almıyor sıfır kapalı kutu pil şarj olmuyor  servis öneriliyor diyor iade yaptılar neyseki,batarya,negatif
Çok şaşkınım nasıl böyle ürün gönderirler aklım almıyor sıfır kapalı kutu pil şarj olmuyor  servis öneriliyor diyor iade yaptılar neyseki,ambalaj,notr
Ürün kusurlu gönderildi..açıldığında şarjı %1di birkaç saat durmasına rağmen dolmadı servis öneriliyor uyarısı verdi. Ayrıca daha yeni aldığım ürünün 2 yıl gara,kalite,negatif
Ürün kusurlu gönderildi..açıldığında şarjı %1di birkaç saat durmasına rağmen dolmadı servis öneriliyor uyarısı verdi. Ayrıca daha yeni aldığım ürünün 2 yıl gara,batarya,negatif
Tavsiye etmiyorum. Sıfır ürün arızalı çıktı. Şarj dolmuyor. %1 şarjla geldi. Aynı şarjla iade ettik. Paramızı aldık çok şükür.,genel,negatif
Tavsiye etmiyorum. Sıfır ürün arızalı çıktı. Şarj dolmuyor. %1 şarjla geldi. Aynı şarjla iade ettik. Paramızı aldık çok şükür.,kalite,negatif
Tavsiye etmiyorum. Sıfır ürün arızalı çıktı. Şarj dolmuyor. %1 şarjla geldi. Aynı şarjla iade ettik. Paramızı aldık çok şükür.,batarya,negatif
Garanti süresine çok az kalmış ve pil servisi uyarısı veriyo şarja takmadan çalışmıyor bilgisayarın alt tarafındada yanık izi var 3 4 bin TL üstüne koyun gidip,batarya,negatif
Garanti süresine çok az kalmış ve pil servisi uyarısı veriyo şarja takmadan çalışmıyor bilgisayarın alt tarafındada yanık izi var 3 4 bin TL üstüne koyun gidip,kalite,negatif
Pil şarj olmuyor servis öneriliyor uyarısı veriyor bu nasıl iş anlamadım acil yardım istiyorum,batarya,negatif
"Kusurlu mal satılıyor, almayın uyarıyorum sizleri. Aynı mağduriyeti yaşamanızı istemem. Bataryası ölmüş, şarja takılmadan çalışmayan bilgisayar satıyorlar. Tren",kalite,negatif
"Kusurlu mal satılıyor, almayın uyarıyorum sizleri. Aynı mağduriyeti yaşamanızı istemem. Bataryası ölmüş, şarja takılmadan çalışmayan bilgisayar satıyorlar. Tren",batarya,negatif
Pili bitmiş 3 yıl önce garantisi bitmiş ürünü bana gönderip bu durumu belgelediğim halde 15 günlük süre geçtiğin için almayan satıcı. İsterseniz siz de alın.,batarya,negatif
Pili bitmiş 3 yıl önce garantisi bitmiş ürünü bana gönderip bu durumu belgelediğim halde 15 günlük süre geçtiğin için almayan satıcı. İsterseniz siz de alın.,genel,negatif
0 ürün nasıl bozuk çıkabiliyor aklım almıyor. Pil bozuk çıktı. Pil şarj olmuyor uyarısı veriyor. Güç kablosunu çektiğim anda kapanıyor. 2-3 hafta servisle uğraş,batarya,negatif
Bana pili bozuk ürün gonderdi TRENDYOL saticisi ve degisim/iade talebimi reddedip teknik serviste kendi basimim caresine bakmam soylendi.,batarya,negatif
Bana pili bozuk ürün gonderdi TRENDYOL saticisi ve degisim/iade talebimi reddedip teknik serviste kendi basimim caresine bakmam soylendi.,genel,negatif
"Maalesef urun elime gectiginde pil servis uyarisi veriyordu, sarj olmuyordu yani hatali urun gonderildi ve iade etmek zorunda kaldim. Almanizi onermem.",batarya,negatif
"Maalesef urun elime gectiginde pil servis uyarisi veriyordu, sarj olmuyordu yani hatali urun gonderildi ve iade etmek zorunda kaldim. Almanizi onermem.",genel,negatif
Trendyol satıcısından birşey alırken artık bir değil bin kere düşünerek alışveriş yapacağım belki hiç yapmayacağım buradaki yorumlara güvenerek alışveriş yaptım,genel,negatif
Sıfır kutusunda çıkarıyorsun o da ne üründe çizikler var. Muhtemelen iade edilen ürünleri paketleyip satıyorlar. Trandyoldan alışveriş yapmayacağım bu son. Mevz,kalite,negatif
Sıfır kutusunda çıkarıyorsun o da ne üründe çizikler var. Muhtemelen iade edilen ürünleri paketleyip satıyorlar. Trandyoldan alışveriş yapmayacağım bu son. Mevz,genel,negatif
Sürekli fiyatıyla oynuyorlar,fiyat,negatif
Cihaz kusurlu çıktı. Bataryasında sıkıntı var kutuyu açtıktan sonra bilgisayarı açtığımda ilk olarak Apple logosu çıkmadı daha sonra şarja taktığımda açıldı. Şa,kalite,negatif
Cihaz kusurlu çıktı. Bataryasında sıkıntı var kutuyu açtıktan sonra bilgisayarı açtığımda ilk olarak Apple logosu çıkmadı daha sonra şarja taktığımda açıldı. Şa,batarya,negatif
Ürünü aldım pil sorunu verdi.şu an servise verdim laptopu.ilk defabilgisayar aldım trendyoldan çok üzüldüm ilk günden servise gitmesine bilgisayarımın.yetkili s,batarya,negatif
"Ürünü değişim için iade ettim. Şarjı %1 de kalıyordu sürekli, ürünün garantisini sorgulattım 50 gün kaldığını öğrendim. Yani ürün sorunluydu ben de değişime gön",batarya,negatif
"Ürünü değişim için iade ettim. Şarjı %1 de kalıyordu sürekli, ürünün garantisini sorgulattım 50 gün kaldığını öğrendim. Yani ürün sorunluydu ben de değişime gön",genel,negatif
Kargom bugün geldi fakat pil servis öneriliyor olarak gözüküyor ve şarj olmuyor,kargo,notr
Kargom bugün geldi fakat pil servis öneriliyor olarak gözüküyor ve şarj olmuyor,batarya,negatif
Ürün bozuk geldi iade aldılar ama pili vs bozuk geldi görmeden almayın buradan 2020 çıkışlı alıp stoğa koymuşlar garantisi de bitmek üzere  geldi,kalite,negatif
Ürün bozuk geldi iade aldılar ama pili vs bozuk geldi görmeden almayın buradan 2020 çıkışlı alıp stoğa koymuşlar garantisi de bitmek üzere  geldi,batarya,negatif
Ürün bataryası arızalı çıktı. Bilgisayar şarj olmuyor. Depoda yıllardır durmaktan sanırım batarya ölmüş. Firmaya gönderdim değişim için. Fakat firma bana açılmı,batarya,negatif
Ürün hiçbir şekilde şarj olmuyor kusurlu ürün gönderildi,batarya,negatif
Ürün hiçbir şekilde şarj olmuyor kusurlu ürün gönderildi,kalite,negatif
08.08.2023 tarihinde aldığım cihaz 02.02.2023 tarihibde garanti süresi başlamıştır.,genel,negatif
şimdilik ofis kullanımı için aldık ve sorunsuz gidiyor.,genel,pozitif
Oyun oynamak ve iş yapmak istiyorsanız ikisini bir arada yapabileceğiniz bir makine kesinlikle değil,genel,notr
paketleme güzel değildi. üzerinde kırılır ibaresi bile yoktu.,ambalaj,negatif
Güzel ürün zaten apple,genel,pozitif
macbook güzel geldi tenk yu,genel,pozitif
macbook güzel geldi tenk yu,kargo,pozitif
orjinalliğinden şüphe etmiştim ama trendyol orjinal olduğunu söyledi teşekkürler,genel,pozitif
Eh işte iyi buna şükür,genel,pozitif
İşletim sisteminden dolayı birçok uygulama yüklenmiyor. Bunu göz önünde bulundurun…,genel,negatif
ürün geldi. Şarja takınca sadece pil % 1 gösteriyor,batarya,negatif
ürün sarz olmuyor sadece fiste iken çalışıyor,batarya,negatif
uzay grisi sipariş ettim ancak pembe tarzında bir renk geldi ne alakaysa,genel,negatif
ürün elime ulasti fakat şarj olmuyor %1 geçmiyor,batarya,negatif
ürün hafif çizik geldi indirim ve kuponla çok uygun fiyata aldığım icin iade etmedim,kalite,negatif
ürün hafif çizik geldi indirim ve kuponla çok uygun fiyata aldığım icin iade etmedim,fiyat,pozitif
batarya bozuk geldi servise gönderdim,batarya,negatif
sıkıntı yok sadece kutuyu açtıktan sonra garanti suresini kontrol edin,genel,notr
ürün yamuk geldi,kalite,negatif
kızım için aldım üç günde elimize ulaştı,kargo,pozitif
Gayet kullanışlı. Üni öğrencisiyim,genel,pozitif
Yaklaşık 20 yıldır telefonumdan bilgisayara Apple kullanıyorum. Asla vazgeçmem,genel,pozitif
tamda istediğimiz gibi geldi teşekkür ediyorum,genel,pozitif
tamda istediğimiz gibi geldi teşekkür ediyorum,kargo,pozitif
ürünü kızıma aldım beğendi,genel,pozitif
Kardeşime aldım beğendi,genel,pozitif
çok memnunum iyi ki almışım,genel,pozitif
Yeni elime geldi çok güzel paketleme saglam ve özenli teşekkür ler trendyol,ambalaj,pozitif
Yeni elime geldi çok güzel paketleme saglam ve özenli teşekkür ler trendyol,kargo,pozitif
