yorum,cumle,aspect,sentiment
ürün tabiki çok güzel apple sonuçta ama trendyol çok yavaş kargoları maalesef ama sorunsuz geldi teşekkürler,ürün tabiki çok güzel apple sonuçta,genel,pozitif
ürün tabiki çok güzel apple sonuçta ama trendyol çok yavaş kargoları maalesef ama sorunsuz geldi teşekkürler,trendyol çok yavaş kargoları maalesef,kargo,negatif
ürün tabiki çok güzel apple sonuçta ama trendyol çok yavaş kargoları maalesef ama sorunsuz geldi teşekkürler,sorunsuz geldi teşekkürler,kargo,pozitif
"Ürün elime bugün 5 kasım 2024 tarihinde ulaştı, kutu üzerinden doğrulamasını yaptıktan sonra kurulum için açtım. Açar açmaz karşılaştığım sorun pil için servis","ürün elime bugün 5 kasım 2024 tarihinde ulaştı, kutu üzerinden doğrulamasını yaptıktan sonra kurulum için açtım",kargo,notr
"Ürün elime bugün 5 kasım 2024 tarihinde ulaştı, kutu üzerinden doğrulamasını yaptıktan sonra kurulum için açtım. Açar açmaz karşılaştığım sorun pil için servis","ürün elime bugün 5 kasım 2024 tarihinde ulaştı, kutu üzerinden doğrulamasını yaptıktan sonra kurulum için açtım",ambalaj,notr
"Ürün elime bugün 5 kasım 2024 tarihinde ulaştı, kutu üzerinden doğrulamasını yaptıktan sonra kurulum için açtım. Açar açmaz karşılaştığım sorun pil için servis",açar açmaz karşılaştığım sorun pil için servis,batarya,notr
"Kesinlikle almayın, 19 ekim 2024 tarihinde teslim aldım cihazı, garanti bitimi 26 mart 2025 gösteriyor. Daha önce kullanılmış ürünü gönderiyorlar ve BOZUK!!! Ci","kesinlikle almayın, 19 ekim 2024 tarihinde teslim aldım cihazı, garanti bitimi 26 mart 2025 gösteriyor",kargo,notr
"Kesinlikle almayın, 19 ekim 2024 tarihinde teslim aldım cihazı, garanti bitimi 26 mart 2025 gösteriyor. Daha önce kullanılmış ürünü gönderiyorlar ve BOZUK!!! Ci","kesinlikle almayın, 19 ekim 2024 tarihinde teslim aldım cihazı, garanti bitimi 26 mart 2025 gösteriyor",fiyat,notr
"Kesinlikle almayın, 19 ekim 2024 tarihinde teslim aldım cihazı, garanti bitimi 26 mart 2025 gösteriyor. Daha önce kullanılmış ürünü gönderiyorlar ve BOZUK!!! Ci",daha önce kullanılmış ürünü gönderiyorlar ve bozuk,kargo,negatif
ürün hiçbir şekilde şarj olmuyor. servis öneriliyor yazıyor. paketlenmeden gönderilmiş sadece kendi kutusu ve trendyol kutusuna konmuş.,ürün hiçbir şekilde şarj olmuyor,batarya,negatif
ürün hiçbir şekilde şarj olmuyor. servis öneriliyor yazıyor. paketlenmeden gönderilmiş sadece kendi kutusu ve trendyol kutusuna konmuş.,paketlenmeden gönderilmiş sadece kendi kutusu ve trendyol kutusuna konmuş,kargo,notr
ürün hiçbir şekilde şarj olmuyor. servis öneriliyor yazıyor. paketlenmeden gönderilmiş sadece kendi kutusu ve trendyol kutusuna konmuş.,paketlenmeden gönderilmiş sadece kendi kutusu ve trendyol kutusuna konmuş,ambalaj,notr
Ürünü 22 Aralık 2024 tarihinde satıcı trendyol olarak sipariş verdim bugün geldi kurulumunu gerçekleştirdim. Garanti süresine bakınca 30 Ocak 2026 olduğunu fark,ürünü 22 aralık 2024 tarihinde satıcı trendyol olarak sipariş verdim bugün geldi kurulumunu gerçekleştirdim,kargo,negatif
Ağustosda aldım ocakta garantisi başlamış,ağustosda aldım ocakta garantisi başlamış,fiyat,notr
PC kurulumunu yaptıktan sonra pil seviyesi servis gösteriyordu iade ettim geri yolladılar PC yi sıfırlayıp geri yollamam söylendi sıfırladım ve tekrar yolladım,pc kurulumunu yaptıktan sonra pil seviyesi servis gösteriyordu iade ettim geri yolladılar pc yi sıfırlayıp geri yollamam söylendi sıfırladım ve tekrar yolladım,batarya,negatif
batarya bozuk geldi üründe sorun yoktu servis uyarısı verdi geri iade talebi oluşturdum.,batarya bozuk geldi üründe sorun yoktu servis uyarısı verdi geri iade talebi oluşturdum,kargo,negatif
batarya bozuk geldi üründe sorun yoktu servis uyarısı verdi geri iade talebi oluşturdum.,batarya bozuk geldi üründe sorun yoktu servis uyarısı verdi geri iade talebi oluşturdum,batarya,negatif
sıfır aldığım ürün pil servis uyarısı verdi iadeyle uğraşmadım servise gönderdim.trendyol satıcısından almıştım siz siz olun bilindik yerlerden alın,sıfır aldığım ürün pil servis uyarısı verdi iadeyle uğraşmadım servise gönderdim,batarya,notr
Çok şaşkınım nasıl böyle ürün gönderirler aklım almıyor sıfır kapalı kutu pil şarj olmuyor  servis öneriliyor diyor iade yaptılar neyseki,çok şaşkınım nasıl böyle ürün gönderirler aklım almıyor sıfır kapalı kutu pil şarj olmuyor servis öneriliyor diyor iade yaptılar neyseki,kargo,negatif
Çok şaşkınım nasıl böyle ürün gönderirler aklım almıyor sıfır kapalı kutu pil şarj olmuyor  servis öneriliyor diyor iade yaptılar neyseki,çok şaşkınım nasıl böyle ürün gönderirler aklım almıyor sıfır kapalı kutu pil şarj olmuyor servis öneriliyor diyor iade yaptılar neyseki,batarya,negatif
Çok şaşkınım nasıl böyle ürün gönderirler aklım almıyor sıfır kapalı kutu pil şarj olmuyor  servis öneriliyor diyor iade yaptılar neyseki,çok şaşkınım nasıl böyle ürün gönderirler aklım almıyor sıfır kapalı kutu pil şarj olmuyor servis öneriliyor diyor iade yaptılar neyseki,ambalaj,negatif
Ürün kusurlu gönderildi..açıldığında şarjı %1di birkaç saat durmasına rağmen dolmadı servis öneriliyor uyarısı verdi. Ayrıca daha yeni aldığım ürünün 2 yıl gara,ürün kusurlu gönderildi,kargo,notr
Ürün kusurlu gönderildi..açıldığında şarjı %1di birkaç saat durmasına rağmen dolmadı servis öneriliyor uyarısı verdi. Ayrıca daha yeni aldığım ürünün 2 yıl gara,açıldığında şarjı 1di birkaç saat durmasına rağmen dolmadı servis öneriliyor uyarısı verdi,batarya,negatif
Ürün kusurlu gönderildi..açıldığında şarjı %1di birkaç saat durmasına rağmen dolmadı servis öneriliyor uyarısı verdi. Ayrıca daha yeni aldığım ürünün 2 yıl gara,açıldığında şarjı 1di birkaç saat durmasına rağmen dolmadı servis öneriliyor uyarısı verdi,ambalaj,negatif
Ürün kusurlu gönderildi..açıldığında şarjı %1di birkaç saat durmasına rağmen dolmadı servis öneriliyor uyarısı verdi. Ayrıca daha yeni aldığım ürünün 2 yıl gara,ayrıca daha yeni aldığım ürünün 2 yıl gara,genel,notr
Tavsiye etmiyorum. Sıfır ürün arızalı çıktı. Şarj dolmuyor. %1 şarjla geldi. Aynı şarjla iade ettik. Paramızı aldık çok şükür.,sıfır ürün arızalı çıktı,genel,negatif
Tavsiye etmiyorum. Sıfır ürün arızalı çıktı. Şarj dolmuyor. %1 şarjla geldi. Aynı şarjla iade ettik. Paramızı aldık çok şükür.,şarj dolmuyor,batarya,negatif
Tavsiye etmiyorum. Sıfır ürün arızalı çıktı. Şarj dolmuyor. %1 şarjla geldi. Aynı şarjla iade ettik. Paramızı aldık çok şükür.,1 şarjla geldi,kargo,notr
Tavsiye etmiyorum. Sıfır ürün arızalı çıktı. Şarj dolmuyor. %1 şarjla geldi. Aynı şarjla iade ettik. Paramızı aldık çok şükür.,1 şarjla geldi,batarya,notr
Tavsiye etmiyorum. Sıfır ürün arızalı çıktı. Şarj dolmuyor. %1 şarjla geldi. Aynı şarjla iade ettik. Paramızı aldık çok şükür.,aynı şarjla iade ettik,batarya,notr
Tavsiye etmiyorum. Sıfır ürün arızalı çıktı. Şarj dolmuyor. %1 şarjla geldi. Aynı şarjla iade ettik. Paramızı aldık çok şükür.,paramızı aldık çok şükür,fiyat,notr
Garanti süresine çok az kalmış ve pil servisi uyarısı veriyo şarja takmadan çalışmıyor bilgisayarın alt tarafındada yanık izi var 3 4 bin TL üstüne koyun gidip,garanti süresine çok az kalmış ve pil servisi uyarısı veriyo şarja takmadan çalışmıyor bilgisayarın alt tarafındada yanık izi var 3 4 bin tl üstüne koyun gidip,batarya,negatif
Pil şarj olmuyor servis öneriliyor uyarısı veriyor bu nasıl iş anlamadım acil yardım istiyorum,pil şarj olmuyor servis öneriliyor uyarısı veriyor bu nasıl iş anlamadım acil yardım istiyorum,batarya,negatif
"Kusurlu mal satılıyor, almayın uyarıyorum sizleri. Aynı mağduriyeti yaşamanızı istemem. Bataryası ölmüş, şarja takılmadan çalışmayan bilgisayar satıyorlar. Tren","bataryası ölmüş, şarja takılmadan çalışmayan bilgisayar satıyorlar",batarya,notr
Pili bitmiş 3 yıl önce garantisi bitmiş ürünü bana gönderip bu durumu belgelediğim halde 15 günlük süre geçtiğin için almayan satıcı. İsterseniz siz de alın.,pili bitmiş 3 yıl önce garantisi bitmiş ürünü bana gönderip bu durumu belgelediğim halde 15 günlük süre geçtiğin için almayan satıcı,kargo,negatif
Pili bitmiş 3 yıl önce garantisi bitmiş ürünü bana gönderip bu durumu belgelediğim halde 15 günlük süre geçtiğin için almayan satıcı. İsterseniz siz de alın.,pili bitmiş 3 yıl önce garantisi bitmiş ürünü bana gönderip bu durumu belgelediğim halde 15 günlük süre geçtiğin için almayan satıcı,batarya,negatif
0 ürün nasıl bozuk çıkabiliyor aklım almıyor. Pil bozuk çıktı. Pil şarj olmuyor uyarısı veriyor. Güç kablosunu çektiğim anda kapanıyor. 2-3 hafta servisle uğraş,0 ürün nasıl bozuk çıkabiliyor aklım almıyor,genel,negatif
0 ürün nasıl bozuk çıkabiliyor aklım almıyor. Pil bozuk çıktı. Pil şarj olmuyor uyarısı veriyor. Güç kablosunu çektiğim anda kapanıyor. 2-3 hafta servisle uğraş,pil bozuk çıktı,batarya,negatif
0 ürün nasıl bozuk çıkabiliyor aklım almıyor. Pil bozuk çıktı. Pil şarj olmuyor uyarısı veriyor. Güç kablosunu çektiğim anda kapanıyor. 2-3 hafta servisle uğraş,pil şarj olmuyor uyarısı veriyor,batarya,negatif
Bana pili bozuk ürün gonderdi TRENDYOL saticisi ve degisim/iade talebimi reddedip teknik serviste kendi basimim caresine bakmam soylendi.,bana pili bozuk ürün gonderdi trendyol saticisi ve degisim iade talebimi reddedip teknik serviste kendi basimim caresine bakmam soylendi,batarya,negatif
"Maalesef urun elime gectiginde pil servis uyarisi veriyordu, sarj olmuyordu yani hatali urun gonderildi ve iade etmek zorunda kaldim. Almanizi onermem.","maalesef urun elime gectiginde pil servis uyarisi veriyordu, sarj olmuyordu yani hatali urun gonderildi ve iade etmek zorunda kaldim",batarya,negatif
Trendyol satıcısından birşey alırken artık bir değil bin kere düşünerek alışveriş yapacağım belki hiç yapmayacağım buradaki yorumlara güvenerek alışveriş yaptım,trendyol satıcısından birşey alırken artık bir değil bin kere düşünerek alışveriş yapacağım belki hiç yapmayacağım buradaki yorumlara güvenerek alışveriş yaptım,genel,negatif
Sıfır kutusunda çıkarıyorsun o da ne üründe çizikler var. Muhtemelen iade edilen ürünleri paketleyip satıyorlar. Trandyoldan alışveriş yapmayacağım bu son. Mevz,sıfır kutusunda çıkarıyorsun o da ne üründe çizikler var,ambalaj,notr
Sıfır kutusunda çıkarıyorsun o da ne üründe çizikler var. Muhtemelen iade edilen ürünleri paketleyip satıyorlar. Trandyoldan alışveriş yapmayacağım bu son. Mevz,muhtemelen iade edilen ürünleri paketleyip satıyorlar,ambalaj,notr
Sürekli fiyatıyla oynuyorlar,sürekli fiyatıyla oynuyorlar,fiyat,notr
Cihaz kusurlu çıktı. Bataryasında sıkıntı var kutuyu açtıktan sonra bilgisayarı açtığımda ilk olarak Apple logosu çıkmadı daha sonra şarja taktığımda açıldı. Şa,cihaz kusurlu çıktı,genel,notr
