yorum,aspect,gercek_sentiment,tahmin_sentiment
ASUS ASUS ASUSU,genel,notr,notr
ürün tabiki çok güzel apple sonuçta ama trendyol çok yavaş kargoları maalesef ama sorunsuz geldi teşekkürler,kargo,negatif,pozitif
ürün tabiki çok güzel apple sonuçta ama trendyol çok yavaş kargoları maalesef ama sorunsuz geldi teşekkürler,genel,pozitif,pozitif
"Ürün elime bugün 5 kasım 2024 tarihinde ulaştı, kutu üzerinden doğrulamasını yaptıktan sonra kurulum için açtım. Açar açmaz karşılaştığım sorun pil için servis",kargo,notr,notr
"Ürün elime bugün 5 kasım 2024 tarihinde ulaştı, kutu üzerinden doğrulamasını yaptıktan sonra kurulum için açtım. Açar açmaz karşılaştığım sorun pil için servis",batarya,negatif,negatif
"Ürün elime bugün 5 kasım 2024 tarihinde ulaştı, kutu üzerinden doğrulamasını yaptıktan sonra kurulum için açtım. Açar açmaz karşılaştığım sorun pil için servis",ambalaj,yok,notr
"Kesinlikle almayın, 19 ekim 2024 tarihinde teslim aldım cihazı, garanti bitimi 26 mart 2025 gösteriyor. Daha önce kullanılmış ürünü gönderiyorlar ve BOZUK!!! Ci",kargo,yok,negatif
"Kesinlikle almayın, 19 ekim 2024 tarihinde teslim aldım cihazı, garanti bitimi 26 mart 2025 gösteriyor. Daha önce kullanılmış ürünü gönderiyorlar ve BOZUK!!! Ci",kalite,negatif,yok
"Kesinlikle almayın, 19 ekim 2024 tarihinde teslim aldım cihazı, garanti bitimi 26 mart 2025 gösteriyor. Daha önce kullanılmış ürünü gönderiyorlar ve BOZUK!!! Ci",fiyat,yok,negatif
"Kesinlikle almayın, 19 ekim 2024 tarihinde teslim aldım cihazı, garanti bitimi 26 mart 2025 gösteriyor. Daha önce kullanılmış ürünü gönderiyorlar ve BOZUK!!! Ci",genel,negatif,yok
ürün hiçbir şekilde şarj olmuyor. servis öneriliyor yazıyor. paketlenmeden gönderilmiş sadece kendi kutusu ve trendyol kutusuna konmuş.,kargo,yok,negatif
ürün hiçbir şekilde şarj olmuyor. servis öneriliyor yazıyor. paketlenmeden gönderilmiş sadece kendi kutusu ve trendyol kutusuna konmuş.,batarya,negatif,negatif
ürün hiçbir şekilde şarj olmuyor. servis öneriliyor yazıyor. paketlenmeden gönderilmiş sadece kendi kutusu ve trendyol kutusuna konmuş.,ambalaj,negatif,negatif
Ürünü 22 Aralık 2024 tarihinde satıcı trendyol asatıcı olarak sipariş verdim bugün geldi kurulumunu gerçekleştirdim. Garanti süresine bakınca 30 Ocak 2026 olduğunu fark,kargo,notr,notr
Ürünü 22 Aralık 2024 tarihinde satıcı trendyol asatıcı olarak sipariş verdim bugün geldi kurulumunu gerçekleştirdim. Garanti süresine bakınca 30 Ocak 2026 olduğunu fark,genel,notr,yok
Ağustosda aldım ocakta garantisi başlamış,fiyat,yok,negatif
Ağustosda aldım ocakta garantisi başlamış,genel,negatif,yok
PC kurulumunu yaptıktan sonra pil seviyesi servis gösteriyordu iade ettim geri yolladılar PC yi sıfırlayıp geri yollamam söylendi sıfırladım ve tekrar yolladım,batarya,negatif,negatif
