yorum,aspect,sentiment
1 günde 800 tl fark olur mu,genel,notr
1 günde 800 tl fark olur mu,fiyat,notr
1 haftada geldi telefon asla bu kadar geç gelmesini beklemiyordum paket yırtıktı neyse ki telefona bir şey olmamış onun dışında telefon tabi ki efsane😄,ambalaj,negatif
1 yıl oldu alalı. Çok memnunum hiç bir sıkıntı yaşamadım.,genel,pozitif
1 yıl önce aldığım apple 11 tlf mu garanti kapsamında vatan bil yolladım onlarda kvk ya yolladılar bir ay sonra kvk servisi benim telefonumu değişim yapıp tekra,genel,notr
"1.5 senedir kullanıyorum, 8k fiyatına aldım. ilk aldığımda gayet güzeldi, hala iş görür bir telefon ancak kamerası için öyle söyleyemeyeceğim, bir tane 50mp fot",fiyat,pozitif
"1.5 senedir kullanıyorum, 8k fiyatına aldım. ilk aldığımda gayet güzeldi, hala iş görür bir telefon ancak kamerası için öyle söyleyemeyeceğim, bir tane 50mp fot",ses_goruntu,negatif
10 yıldız kızıma aldım çok beğendi,genel,pozitif
12 gundur kargom gelmedi almayin buradan telefon magduriyet yasattilar,genel,negatif
12 gundur kargom gelmedi almayin buradan telefon magduriyet yasattilar,kargo,negatif
128 gb olması iyi oldu.,genel,pozitif
1yıl oldu alalı çok memnunum rahatlıkla alabilirsiniz,genel,pozitif
2 adet aldım çok güzeldi fiyat olarak,fiyat,pozitif
2 ay olacak alalı çok güzel kullanışlı gayet de güzel paketlenmişti çok tereddüt ettim ama güzel geldi bi sorunu yok,ambalaj,pozitif
2 aydır kullanıyorum şuanlık memnunum,genel,pozitif
"2 gün önce teslim aldığım ve kurulumunu hiç yapmadığım ürün, ekranında çökme kaynaklı hatalı ürün olarak tarafıma ulaştı. Teknosa mağazasına gittiğimde ürünle i",kargo,negatif
"2 gün önce teslim aldığım ve kurulumunu hiç yapmadığım ürün, ekranında çökme kaynaklı hatalı ürün olarak tarafıma ulaştı. Teknosa mağazasına gittiğimde ürünle i",kalite,negatif
"2 gün önce teslim aldığım ve kurulumunu hiç yapmadığım ürün, ekranında çökme kaynaklı hatalı ürün olarak tarafıma ulaştı. Teknosa mağazasına gittiğimde ürünle i",ses_goruntu,negatif
2 yıl önce 35 e almış olmam,genel,notr
2 yıldız veriyorum Trendyol un kendi mağazasından aldığım iPhone ürün için fatura gönderilmedi fatura talep ediyorum.,genel,negatif
2022 tarihi ürün gönderildi onun dışında iPhone kalitesi hepimizi biliyoruz,kalite,notr
2024’de asla alınmaz ben geçen sene aldım 8 bucuk ay oldu ve pil sağlığı 89??!?!! günde 1 kere şarj ediyorum orijinal şarj kullanıyorum şarjda oynamıyorum bu ka,kalite,negatif
2024’de asla alınmaz ben geçen sene aldım 8 bucuk ay oldu ve pil sağlığı 89??!?!! günde 1 kere şarj ediyorum orijinal şarj kullanıyorum şarjda oynamıyorum bu ka,batarya,negatif
"25 bin verdiğimiz telefonun bu şekilde özensiz paketlenmesi beni üzdü, kutunun içine atmışlar cidden çok kötü 👎🏻",ambalaj,negatif
3 Ayda pil 98 oldu,batarya,negatif
30 bin tl edecek bir cihaz değil teslimat konusu süper hızlı ama cihaz 30 binlik bi cihaz değil,kargo,pozitif
30 bin tl edecek bir cihaz değil teslimat konusu süper hızlı ama cihaz 30 binlik bi cihaz değil,fiyat,notr
35 binlik ürünü o paketle göndermeye utanmadınız mı gerçekten? Ben açarken bayağı bir utandım da. teknosadan aldım iyi yer müşteri memnuniyetini düşünür vs dedi,ambalaj,negatif
37 k ya aldım ben üzücü,fiyat,negatif
37.500 para verdik insan bi paketlemeye özen gösterir şampuan almıyoruz telefon alıyoruz kargocular zaten paketleri futbol topu gibi kullanıyor henüz kullanmaya,kargo,negatif
37.500 para verdik insan bi paketlemeye özen gösterir şampuan almıyoruz telefon alıyoruz kargocular zaten paketleri futbol topu gibi kullanıyor henüz kullanmaya,fiyat,negatif
37.500 para verdik insan bi paketlemeye özen gösterir şampuan almıyoruz telefon alıyoruz kargocular zaten paketleri futbol topu gibi kullanıyor henüz kullanmaya,ambalaj,negatif
38 e aldım çok düşmüş üzücü,fiyat,negatif
400 TL’ye yakın indirim oldu aldıktan sonra. Şimdilik bir sıkıntı yok telefonda. Şarjının daha iyi dayanmasını beklerdim. Samsung 54 telefon bu konuda daha iyiy,fiyat,pozitif
400 TL’ye yakın indirim oldu aldıktan sonra. Şimdilik bir sıkıntı yok telefonda. Şarjının daha iyi dayanmasını beklerdim. Samsung 54 telefon bu konuda daha iyiy,batarya,pozitif
"6 aydır kullanıyorum, 24.000 e almıştım. Genel olaral memnunum",genel,pozitif
8 ay oldu alalı pil sağlığı %88. Çok hızlı düşüyor pili.,batarya,negatif
ALMAYIN SAKIN !!! Ben aldım ancak gelen cihazın garanti süresi 15 ay kalmış ve ekran sarı ekran dı güvenmeyin,kalite,negatif
ALMAYIN SAKIN !!! Ben aldım ancak gelen cihazın garanti süresi 15 ay kalmış ve ekran sarı ekran dı güvenmeyin,ses_goruntu,negatif
ANNEME YA DA BABAMA DEĞİL KENDİME ALDIM. Ekranı canlı. Şık ve hafif bir telefon. Şarjı yavaş bitiyor ve hızlı şarj özelliği var hemen doluyor fakat içinden adap,batarya,pozitif
ANNEME YA DA BABAMA DEĞİL KENDİME ALDIM. Ekranı canlı. Şık ve hafif bir telefon. Şarjı yavaş bitiyor ve hızlı şarj özelliği var hemen doluyor fakat içinden adap,ses_goruntu,pozitif
Abim için aldım elimize düzgün bir şekilde ulaştı,genel,pozitif
Adres bilgisi farklı verilmiş trendyol adres bilgilerimizden farklıydı Aras kargo ürünü getiremeyiz deyip telefonu yüzümüze kapattı buradan alırsınız dedi bu ma,kargo,notr
Agustos 2023 te aldım şarz almıyor şu an ve servis garanti bilgilerime ulasamiyorum,kalite,negatif
"Alacak arkadaşlar lütfen dikkat edin benim başıma ilk defa böyle bir şey geldi telefon ilk bana ulaştığında sıfır paketliydi,kurulumu yaparken face ID kullanıla",genel,negatif
Alalı 1 yıl oldu hiç bir sorun .Yaşamadan kullanıyorum kamarasıda gayet güzel,genel,pozitif
Alalı 10 gün olmadı. Telefon inanılmaz ısınıyor. Bu normal midir? Ayrıca fatura gönderilmedi. Güvenmekle hatamı yaptım. Gerçekten çok kaygılıyım.,batarya,negatif
Alalı 20 gün oldu kamera bozuldu ön kamera açılmıyor,genel,negatif
Alalı 20 gün oldu kamera bozuldu ön kamera açılmıyor,kalite,negatif
Alalı 20 gün oldu kamera bozuldu ön kamera açılmıyor,ses_goruntu,negatif
Alalı 3 yıldan daha fazla oldu ama haalen mis gibi çalışıyor,genel,pozitif
Aldığım günden berdir herhangi bi sorun yaşamadım çok memnun kaldım tavsiye ediyorum🙏,genel,pozitif
Aldığıma pişman oldum  boş bir telefon açtığım için iade olmuyo alirken 2 kere düşünün açmadan nasıl sarj aletinin olmadığını görebilirsiniz,batarya,negatif
Aldığıma pişman oldum  boş bir telefon açtığım için iade olmuyo alirken 2 kere düşünün açmadan nasıl sarj aletinin olmadığını görebilirsiniz,batarya,negatif
Alırken tereddüt etmiştim ama baya iyi geldi 3 aydır kullanıyorum bir sıkıntı yaşamadım,genel,pozitif
Alırken çok tereddüt etmiştim sıkıntı çıkarmı acaba diye  ama beklediğimden daha güzel ve sağlam geldi kesinlikle tereddütsüz alabilirsiniz tam bir fiyat perfor,genel,pozitif
Alırken çok tereddüt etmiştim sıkıntı çıkarmı acaba diye  ama beklediğimden daha güzel ve sağlam geldi kesinlikle tereddütsüz alabilirsiniz tam bir fiyat perfor,kalite,pozitif
Alırken çok tereddüt etmiştim sıkıntı çıkarmı acaba diye  ama beklediğimden daha güzel ve sağlam geldi kesinlikle tereddütsüz alabilirsiniz tam bir fiyat perfor,fiyat,pozitif
Ambalajlı olarak elime ulaşmadı onun dışında gayet güzel f/p 👌,ambalaj,negatif
Ambalajı gayet iyi ve temiz.Lakin içinden fatura ve garanti belgesi çıkmadı.Sahsen hiç hoşuma gitmedi bu durum,genel,notr
"Annem için aldık kullanımı gayet basit, kargo paketleme her şey gayet sağlamdı",kargo,pozitif
"Annem için aldık kullanımı gayet basit, kargo paketleme her şey gayet sağlamdı",kalite,pozitif
"Annem için aldık kullanımı gayet basit, kargo paketleme her şey gayet sağlamdı",ambalaj,pozitif
Annem için aldım bir senedir sorunsuz kullanıyor,genel,pozitif
Annem için aldım gayet memnun,genel,pozitif
Anneme aldık çok beğendi,genel,pozitif
Anneme aldım memnunuz,genel,pozitif
Anneme hediye ettim. Kendim kullanmadığım için pek bir şey diyemeyeceğim ama annem memnun o yüzden 5.,genel,pozitif
Annemle babama hediye aldım kendim görmedim ama beğendiklerini söylediler,genel,pozitif
Apple 13 gibi değil kamerası falan çok farklı eşiminde 13 ü var ama arasında çok fark var orijinal ürün değil gibi belgeleri kaybettiğim için geri gönderimde ya,kalite,negatif
Apple 13 gibi değil kamerası falan çok farklı eşiminde 13 ü var ama arasında çok fark var orijinal ürün değil gibi belgeleri kaybettiğim için geri gönderimde ya,kalite,negatif
Apple kalitesi,kalite,notr
Apple kalitesi.  tlfon çok güzel sağlam geldi fakat paketlenmesi özensizdi ve faturası çıkmadı.,kalite,pozitif
Araş kargo ile lütfen çalışmayın. İşine saygısı olmayan liyakatsiz disiplinsiz sorumsuz bir sirket ve çalışanları var. 1.000 km lik yolu 3 günde geliyor ama 100,kargo,negatif
Araş kargo ile lütfen çalışmayın. İşine saygısı olmayan liyakatsiz disiplinsiz sorumsuz bir sirket ve çalışanları var. 1.000 km lik yolu 3 günde geliyor ama 100,batarya,negatif
Arka kamera fazla güzel değil ama telefon hızlı.,ses_goruntu,negatif
Arkadas gönül rahatlığıyla alabilirsiniz sorunsuz geldi kargo cok hızlı oldu perşembe gece verdim c. Tesi öglen elime ulastı sadece kargo paketi özenilmemişti,genel,pozitif
Arkadas gönül rahatlığıyla alabilirsiniz sorunsuz geldi kargo cok hızlı oldu perşembe gece verdim c. Tesi öglen elime ulastı sadece kargo paketi özenilmemişti,kargo,pozitif
Arkadaşıma almıştım beğendi,genel,pozitif
Asla buradan almanızı önermiyorum.Bir ay kullandım şarjı çok hızlı bitmeye başladı.garantiye göndermek istedim muhatap bulamadım vatan şubesi kabul etmedi.trend,genel,negatif
Asla buradan almanızı önermiyorum.Bir ay kullandım şarjı çok hızlı bitmeye başladı.garantiye göndermek istedim muhatap bulamadım vatan şubesi kabul etmedi.trend,batarya,negatif
Açılmamış kutu gedi iyiydi,ambalaj,pozitif
Aşırı iyi bir ürün,genel,pozitif
Aşırı yavaş bi firma 3 gün içinde kargoya verdiler 3 gün içinde kargo geldi 1 hafta sonra telefonu teslim alabildim.,kargo,negatif
